tcgId,foil,directLow,market,low,mid,high
21-12-23 20:49:57,,,,,,
86,False,0.21,0.28,0.19,0.4,3.99
86,True,,,,,
87,False,0.09,0.29,0.11,0.29,3.99
87,True,,,,,
88,False,0.17,0.3,0.19,0.35,6.99
88,True,,,,,
89,False,0.09,0.32,0.1,0.27,3.99
89,True,,,,,
90,False,0.15,0.32,0.15,0.25,2.72
90,True,,,,,
91,False,0.04,0.18,0.04,0.23,4.99
91,True,,,,,
92,False,0.62,0.79,0.62,0.78,3.99
92,True,,,,,
93,False,1.25,1.84,1.25,1.96,3.99
93,True,,,,,
94,False,0.77,1.31,0.71,1.03,5.99
94,True,,,,,
95,False,2.49,3.6,2.5,3.4,199.99
95,True,,,,,
96,False,2.2,2.28,1.49,2.51,49.99
96,True,,,,,
97,False,0.06,0.28,0.09,0.31,2.5
97,True,,,,,
98,False,,0.22,0.14,0.25,2.0
98,True,,,,,
99,False,0.22,0.24,0.21,0.37,5.99
99,True,,,,,
100,False,0.35,0.4,0.31,0.47,2.99
100,True,,,,,
101,False,1.83,3.55,2.0,4.06,36.82
101,True,,,,,
102,False,7.61,10.69,7.25,9.09,12.31
102,True,,,,,
103,False,0.5,1.36,0.48,1.03,4.99
103,True,,,,,
104,False,0.16,0.29,0.18,0.32,9.99
104,True,,,,,
105,False,0.16,0.28,0.13,0.28,1.18
105,True,,,,,
106,False,0.74,0.78,0.74,0.81,1.63
106,True,,,,,
107,False,0.87,2.67,0.7,2.43,16.89
107,True,,,,,
108,False,0.08,0.19,0.11,0.25,16.89
108,True,,,,,
109,False,0.11,0.28,0.14,0.41,999.99
109,True,,,,,
110,False,0.46,0.69,0.33,0.68,16.89
110,True,,,,,
111,False,0.41,0.63,0.2,0.55,16.89
111,True,,,,,
112,False,3.99,6.27,3.99,5.17,249.99
112,True,,,,,
113,False,0.15,0.23,0.18,0.33,1.2
113,True,,,,,
114,False,0.14,0.09,0.09,0.25,1.02
114,True,,,,,
115,False,3.44,4.67,2.96,4.73,7.38
115,True,,,,,
116,False,0.1,0.12,0.05,0.25,9.99
116,True,,,,,
117,False,0.19,0.24,0.19,0.47,4.99
117,True,,,,,
118,False,1.22,2.83,1.04,2.19,9.91
118,True,,,,,
119,False,0.09,0.12,0.08,0.25,3.99
119,True,,,,,
120,False,0.34,0.44,0.3,0.48,4.0
120,True,,,,,
121,False,0.08,0.3,0.05,0.25,4.99
121,True,,,,,
122,False,3.98,6.7,3.4,5.25,11.39
122,True,,,,,
123,False,0.11,0.2,0.19,0.29,2.99
123,True,,,,,
124,False,10.26,16.98,14.21,15.97,25.95
124,True,,,,,
125,False,0.21,0.3,0.22,0.35,16.89
125,True,,,,,
126,False,0.13,0.25,0.15,0.29,4.99
126,True,,,,,
127,False,28.03,6.59,20.0,28.03,175.89
127,True,,,,,
128,False,1.8,7.72,4.14,7.5,9.99
128,True,,,,,
129,False,0.5,0.9,0.5,1.0,4.99
129,True,,,,,
130,False,,0.15,0.05,0.25,49.99
130,True,,,,,
131,False,0.19,0.19,0.19,0.3,9.99
131,True,,,,,
132,False,0.41,0.36,0.29,0.5,16.89
132,True,,,,,
133,False,0.34,0.61,0.28,0.5,2.99
133,True,,,,,
134,False,0.5,1.94,0.65,1.46,6.99
134,True,,,,,
137,False,0.18,0.49,0.18,0.68,16.89
137,True,,,,,
138,False,,0.14,0.07,0.24,1.34
138,True,,,,,
139,False,0.46,0.54,0.4,0.7,1.27
139,True,,,,,
140,False,7.23,7.32,6.31,8.0,599.99
140,True,,,,,
141,False,,0.18,0.07,0.23,1.25
141,True,,,,,
142,False,2.53,5.49,3.26,5.49,74.99
142,True,,,,,
143,False,1.79,3.29,0.96,2.9,26.99
143,True,,,,,
144,False,0.16,0.16,0.07,0.24,2.72
144,True,,,,,
145,False,0.09,0.13,0.07,0.22,1.18
145,True,,,,,
146,False,,0.12,0.06,0.23,4.99
146,True,,,,,
147,False,1.76,2.66,1.75,2.83,19.91
147,True,,,,,
148,False,1.39,2.27,1.0,2.25,15.99
148,True,,,,,
149,False,1.45,2.8,0.85,2.61,16.89
149,True,,,,,
150,False,0.06,0.11,0.06,0.25,2.99
150,True,,,,,
151,False,,6.74,1.66,5.02,19.99
151,True,,,,,
152,False,0.5,3.5,0.51,1.18,3.98
152,True,,,,,
153,False,0.22,0.87,0.17,0.82,499.99
153,True,,,,,
154,False,,0.22,0.19,0.26,6.99
154,True,,,,,
155,False,0.48,1.14,0.45,1.0,5.99
155,True,,,,,
158,False,0.08,0.19,0.08,0.25,2.99
158,True,,,,,
159,False,0.47,3.59,0.68,1.34,639.99
159,True,,,,,
160,False,0.21,0.25,0.2,0.35,1.63
160,True,,,,,
161,False,0.14,0.14,0.06,0.25,2.99
161,True,,,,,
162,False,0.33,0.5,0.24,0.47,2.72
162,True,,,,,
163,False,,0.19,0.05,0.24,1.0
163,True,,,,,
164,False,0.4,0.51,0.32,0.52,6.99
164,True,,,,,
165,False,0.49,3.99,0.55,1.0,4.99
165,True,,,,,
166,False,,0.08,0.03,0.25,2.99
166,True,,,,,
167,False,0.14,0.09,0.09,0.24,4.99
167,True,,,,,
168,False,0.08,0.57,0.09,0.37,4.99
168,True,,,,,
169,False,0.44,0.95,0.4,0.95,9.99
169,True,,,,,
172,False,0.25,0.27,0.13,0.31,5.99
172,True,,,,,
173,False,0.24,0.24,0.11,0.38,16.89
173,True,,,,,
174,False,,0.15,0.09,0.22,2.72
174,True,,,,,
175,False,4.96,8.1,3.66,7.25,299.99
175,True,,,,,
176,False,0.34,0.46,0.39,0.65,4.99
176,True,,,,,
177,False,0.29,0.45,0.29,0.44,16.89
177,True,,,,,
178,False,111.82,129.11,99.95,123.07,377.99
178,True,,,,,
179,False,0.09,0.11,0.08,0.24,4.99
179,True,,,,,
180,False,0.41,0.59,0.38,0.62,3.99
180,True,,,,,
181,False,0.25,0.22,0.18,0.28,5.99
181,True,,,,,
182,False,,0.12,0.08,0.25,16.89
182,True,,,,,
183,False,0.2,0.44,0.2,1.0,16.89
183,True,,,,,
184,False,0.09,0.09,0.07,0.23,4.99
184,True,,,,,
185,False,0.2,0.4,0.2,0.39,9.99
185,True,,,,,
186,False,0.11,0.12,0.06,0.23,2.99
186,True,,,,,
187,False,0.08,0.1,0.09,0.25,2.99
187,True,,,,,
188,False,27.39,28.01,25.0,30.81,36.12
188,True,,,,,
189,False,0.35,0.64,0.35,0.65,9.99
189,True,,,,,
193,False,5.79,8.18,7.23,8.46,29.99
193,True,,,,,
194,False,,0.08,0.04,0.24,4.99
194,True,,,,,
195,False,0.08,0.12,0.1,0.25,4.99
195,True,,,,,
196,False,,0.16,0.1,0.25,2.99
196,True,,,,,
197,False,,8.42,6.19,7.87,11.88
197,True,,,,,
198,False,,0.18,0.12,0.25,16.89
198,True,,,,,
199,False,0.28,0.38,0.28,0.42,4.99
199,True,,,,,
200,False,0.26,0.38,0.29,0.43,9.99
200,True,,,,,
201,False,42.51,47.38,42.51,47.55,89.99
201,True,,,,,
202,False,4.53,9.29,10.0,17.46,29.9
202,True,,,,,
203,False,0.16,0.21,0.16,0.27,149.99
203,True,,,,,
204,False,2.16,2.48,0.89,2.63,19.99
204,True,,,,,
205,False,0.36,0.52,0.39,0.69,2499.99
205,True,,,,,
206,False,0.19,0.2,0.06,0.25,1.0
206,True,,,,,
207,False,3.6,5.12,3.0,5.17,7.04
207,True,,,,,
208,False,3.48,4.83,3.0,4.45,16.89
208,True,,,,,
209,False,4.28,7.3,2.57,6.0,289.99
209,True,,,,,
210,False,0.06,0.14,0.05,0.25,2.0
210,True,,,,,
